hotel_id,avg_rate,distance,star_rating,user_rating,lat,lng
0,215.67,1.6198609902,4.0,4.0,40.693553091,-73.9883387089
1,165.67,0.685883663,3.0,4.0,40.718508,-73.995305
2,109.65,1.6040604818,3.5,4.0,40.6964054623,-73.9843436108
3,159.21,0.2443902768,4.0,4.0,40.7155700474,-74.0089005232
4,253.75,0.8754819371,5.0,,40.725479,-74.005382
5,158.33,1.5974223599,2.5,4.0,40.7210186704,-74.0344439
6,254.0,1.8798662265,3.0,5.0,40.71894521,-74.04088214
7,249.0,0.4776267431,4.5,4.0,40.7092227208,-74.013787508
8,108.0,0.6979638942,3.0,,40.712308,-73.9927226123
9,166.83,0.3385781295,4.5,4.5,40.7079133315,-74.0065830946
10,326.4,0.5352272603,5.0,4.5,40.7149951939,-74.0157771636
11,109.65,0.7618648745,3.0,,40.723828,-74.005292
12,158.4,1.6549153569,3.0,4.5,40.695675,-73.983936
13,177.73,0.6042268008,3.0,4.0,40.7046840512,-74.0103206007
14,120.1,3.7619153303,3.5,4.0,40.764491,-73.983217
15,129.0,0.4667045254,4.0,4.5,40.7096595778,-74.0138722778
16,285.0,0.5334698119,4.5,4.5,40.705176,-74.007686
17,119.0,0.6645408595,2.5,,40.71528,-73.99377
18,179.0,0.9131143025,2.0,3.5,40.7213212324,-73.9926937321
19,301.84,0.9461791245,5.0,4.5,40.70164,-73.99553
20,215.67,0.5760801133,4.5,4.0,40.71984,-74.000102
21,137.28,1.7848998999,3.5,4.0,40.723719,-74.03682
22,165.67,1.8563314652,4.0,4.0,40.691377,-73.984618
23,324.99,0.1153488312,5.0,5.0,40.71122049,-74.00671935
24,159.0,0.8481136543,4.0,,40.72065,-73.99357
25,234.33,0.1640631706,4.0,,40.71081,-74.00771
26,167.4,3.6950807056,4.0,3.5,40.7623207374,-73.9792084694
27,90.0,0.49483408,2.5,3.5,40.7191443333,-74.0016062667
28,166.32,0.2453970074,4.0,,40.70993,-74.00876
29,120.98,0.6126062983,3.0,4.0,40.719865,-73.998934
30,190.8,1.4032366467,3.5,4.0,40.7323808291,-73.9987832308
31,319.67,0.2470067363,4.0,4.5,40.71525,-74.00943
32,176.03,0.8068982148,4.0,4.5,40.7243903526,-74.0080396339
33,261.0,1.1833038305,4.5,,40.722112,-73.987074
34,149.37,0.6386595151,4.0,4.5,40.7170519744,-73.9951954742
35,185.5,0.9565725167,4.0,4.5,40.71949805,-73.99004832
36,171.93,3.591124869,3.5,4.5,40.7567449524,-73.9693466822
37,259.0,1.4286399549,4.0,4.5,40.7170456,-74.032632
38,225.67,0.2987311224,3.5,4.5,40.70964471,-74.00989554
39,236.1,0.6130032701,4.5,,40.7216,-74.0044
40,165.67,0.5374914529,4.0,4.0,40.7082313589,-74.014290956
41,189.0,0.231555494,4.0,4.5,40.715989,-74.007373
42,149.0,1.1042468412,4.0,4.0,40.718341,-73.986269
43,175.67,0.1710163267,3.0,4.0,40.7103798508,-74.0067021019
44,146.3,0.6631253248,4.0,4.5,40.71936,-73.99677
45,162.33,1.8707877192,3.5,4.0,40.69124,-73.9844
46,146.02,0.7420114687,3.0,4.0,40.703174,-74.012299
47,231.0,0.3434810646,4.0,4.5,40.70801,-74.00778
48,136.33,0.3349891686,3.0,4.0,40.708965,-74.002088
49,162.33,0.5623308393,4.0,4.0,40.7208398814,-74.0042495728
50,143.03,0.6939935743,4.0,3.5,40.7039695998,-74.0123266304
51,216.0,1.1392313236,4.5,4.5,40.7217490172,-73.9877652417
52,179.0,0.4852296448,3.5,,40.70580138,-74.00509948
53,124.42,3.4989133592,3.5,4.5,40.7613079915,-73.9865811914
54,195.0,1.4434765221,4.5,,40.732535,-73.99688
55,179.0,0.3155870999,3.5,4.0,40.7089136747,-74.0091687441
56,235.5,1.8705782218,4.5,4.0,40.7399087312,-74.0058816969
57,157.72,0.4303437021,3.5,4.0,40.7093742929,-74.0128488324
58,240.67,1.7919669663,3.0,4.0,40.7273680466,-74.034256568
59,300.99,0.6913814642,4.5,4.5,40.7227717857,-74.0047138825
60,148.1,1.765113588,2.0,4.0,40.7382483573,-74.0094128251
61,192.0,1.0165798003,4.0,,40.7226223,-73.9915685
62,199.0,0.6877560908,2.5,4.0,40.7131232,-73.9929081
63,186.24,0.5593222392,3.5,4.0,40.720895,-74.005449
64,165.67,1.8563643984,3.0,4.0,40.691463,-73.984469
65,242.33,0.4602708123,4.0,4.5,40.706268972,-74.0077823798
66,221.1,0.4426232429,4.5,,40.7191630715,-74.0049334041
67,169.15,0.9507029427,4.5,4.0,40.726401,-74.008892
68,329.0,1.8830776627,4.5,4.0,40.736701,-73.988687
69,650.0,0.1747169157,5.0,4.5,40.71254,-74.00931
70,179.0,1.4801338682,3.0,4.5,40.71587938,-74.03389875
71,127.33,0.5341227689,4.0,3.5,40.7050626776,-74.0062987804
72,225.67,1.0157852549,3.5,4.5,40.727519,-74.005679
73,381.67,0.6984039625,4.0,,40.7182145,-73.9947613
74,184.0,0.988986208,3.5,4.0,40.7271325667,-74.0060633667
75,232.33,0.509290725,4.0,4.0,40.7094463717,-74.0146404505
76,123.82,1.5441807297,3.0,3.5,40.7285077321,-73.9850497626
77,162.33,0.5070559699,3.0,,40.70832862,-74.01366338
78,204.55,0.7781242345,5.0,,40.7054815402,-74.0172743797
79,122.33,1.0947839368,3.5,,40.7231923879,-73.9902435135
80,252.33,0.5412174807,5.0,4.5,40.719263189,-74.0001597262
81,229.0,0.5454633916,4.5,5.0,40.71584,-73.99641
82,191.03,0.2587128748,4.0,4.0,40.7112131872,-74.010464251
83,175.67,0.4782120005,3.0,4.0,40.7059140969,-74.0049697756
84,149.0,0.3729962636,3.5,4.0,40.7074028111,-74.0063953988
85,149.0,0.4760318444,4.0,4.5,40.70947,-74.01394
86,171.84,0.7543640589,3.0,4.5,40.70296,-74.01226
87,90.0,0.8115742141,2.0,2.5,40.718638,-73.992581
88,90.21,1.121015778,3.0,,40.7230062833,-73.9893875
89,279.0,1.6536974762,4.0,4.5,40.7334742976,-73.9900673926
90,238.33,1.053539458,4.0,4.0,40.719787,-73.988158
91,125.67,0.7501745145,3.0,3.5,40.7195117986,-73.9947597166
92,94.5,0.6518098839,3.0,3.5,40.7136331667,-73.9936341667
93,168.97,1.8560153475,4.0,4.5,40.68955362,-73.98821994
94,139.0,0.9364345244,3.0,4.0,40.7185680165,-73.9898553761
95,135.67,0.4496335962,4.0,4.0,40.706717157,-74.0090707242
96,118.15,1.0680497444,3.0,4.0,40.72112916,-73.9888534703
97,114.24,0.6479415111,2.5,3.0,40.71431,-73.99382
